Column_Timestamp,Column_22_23,Col1292,Col1293,Column_labels
1680094325,1528000,32,47750,1
1680097325,1529120,32,47785,1
1680100325,1530240,32,47820,1
1680103325,1531360,32,47855,1
1680106325,1532192,32,47881,1
1680109325,1532192,32,47881,1
1680112325,1532192,32,47881,1
1680115325,1532192,32,47881,1
1680118325,1532192,32,47881,1
1680121325,1532192,32,47881,1
1680124325,1532192,32,47881,1
1680127325,1532544,32,47892,1
1680130325,1535712,32,47991,1
1680133325,1540352,32,48136,1
1680136325,1544992,32,48281,1
1680139325,1551744,32,48492,1
1680142325,1552000,32,48500,1
1680145325,1552320,32,48510,1
1680148325,1552640,32,48520,1
1680151325,1553088,32,48534,1
1680154325,1553568,32,48549,1
1680157325,1553696,32,48553,1
1680160325,1554016,32,48563,1
1680163325,1554336,32,48573,1
1680166325,1554656,32,48583,1
1680169325,1554976,32,48593,1
1680172325,1571488,32,49109,0
1680175325,1573664,32,49177,1
1680178325,1584704,32,49522,0
1680181325,1602592,32,50081,0
1680184325,1603712,32,50116,1
1680187325,1604832,32,50151,1
1680190325,1605952,32,50186,1
1680193325,1607072,32,50221,1
1680196325,1618944,32,50592,0
1680199325,1624384,32,50762,1
1680202325,1635264,32,51102,0
1680205325,1638784,32,51212,1
1680208325,1641184,32,51287,1
1680211325,1643584,32,51362,1
1680214325,1648224,32,51507,1
1680217325,1661184,32,51912,0
1680220325,1665504,32,52047,1
1680223325,1670784,32,52212,1
1680226325,1510176,32,47193,1
1680229325,1510176,32,47193,1
1680232325,1510176,32,47193,1
1680235325,1564512,32,48891,0
1680238325,1597152,32,49911,0
1680241325,1599840,32,49995,1
1680244325,1603200,32,50100,1
1680247325,1605952,32,50186,1
1680250325,1608832,32,50276,1
1680253325,1621952,32,50686,0
1680256325,1652352,32,51636,0
1680259325,1655392,32,51731,1
1680262325,1656128,32,51754,1
1680265325,1656288,32,51759,1
1680268325,1656448,32,51764,1
1680271325,1656608,32,51769,1
1680274325,1656768,32,51774,1
1680277325,1656928,32,51779,1
1680280325,1657088,32,51784,1
1680283325,1657248,32,51789,1
1680286325,1657408,32,51794,1
1680289325,1657568,32,51799,1
1680292325,1678976,32,52468,0
1680295325,1685696,32,52678,1
1680298325,1685696,32,52678,1
1680301325,1753952,32,54811,0
1680304325,1756480,32,54890,1
1680307325,1769120,32,55285,0
1680310325,1853728,32,57929,0
1680313325,1854208,32,57944,1
1680316325,1854688,32,57959,1
1680319325,1855168,32,57974,1
1680322325,1855648,32,57989,1
1680325325,1856128,32,58004,1
1680328325,1856608,32,58019,1
1680331325,1857088,32,58034,1
1680334325,1857568,32,58049,1
1680337325,1858048,32,58064,1
1680340325,1858528,32,58079,1
1680343325,1859808,32,58119,1
1680346325,1635072,32,51096,1
1680349325,1637632,32,51176,1
1680352325,1637856,32,51183,1
1680355325,1637856,32,51183,1
1680358325,1638368,32,51199,1
1680361325,1687968,32,52749,0
1680364325,1692032,32,52876,1
1680367325,1693408,32,52919,1
1680370325,1695776,32,52993,1
1680373325,1762144,32,55067,0
1680376325,1767424,32,55232,1
1680379325,1817024,32,56782,0
1680382325,1817120,32,56785,1
1680385325,1817600,32,56800,1
1680388325,1819232,32,56851,1
1680391325,1819808,32,56869,1
1680394325,1820512,32,56891,1
1680397325,1821632,32,56926,1
1680400325,1822752,32,56961,1
1680403325,1823872,32,56996,1
1680406325,1824992,32,57031,1
1680409325,1825952,32,57061,1
1680412325,1730944,32,54092,1
1680415325,1734016,32,54188,1
1680418325,1734016,32,54188,1
1680421325,1734304,32,54197,1
1680424325,1735744,32,54242,1
1680427325,1737184,32,54287,1
1680430325,1738208,32,54319,1
1680433325,1738592,32,54331,1
1680436325,1739072,32,54346,1
1680439325,1741088,32,54409,1
1680442325,1741728,32,54429,1
1680445325,1744768,32,54524,1
1680448325,1746208,32,54569,1
1680451325,1748448,32,54639,1
1680454325,1749088,32,54659,1
1680457325,1752544,32,54767,1
1680460325,1761664,32,55052,0
1680463325,1762464,32,55077,1
1680466325,1762848,32,55089,1
1680469325,1763104,32,55097,1
1680472325,1775104,32,55472,0
1680475325,1776928,32,55529,1
1680478325,1779968,32,55624,1
1680481325,1785568,32,55799,1
1680484325,1796736,32,56148,0
1680487325,1797376,32,56168,1
1680490325,1798016,32,56188,1
1680493325,1798656,32,56208,1
1680496325,1801024,32,56282,1
1680499325,1801952,32,56311,1
1680502325,1801952,32,56311,1
1680505325,1801952,32,56311,1
1680508325,1801952,32,56311,1
1680511325,1801952,32,56311,1
1680514325,1803968,32,56374,1
1680517325,1805408,32,56419,1
1680520325,1805408,32,56419,1
1680523325,1805408,32,56419,1
1680526325,1805408,32,56419,1
1680529325,1805408,32,56419,1
1680532325,1805408,32,56419,1
1680535325,1805408,32,56419,1
1680538325,1805408,32,56419,1
1680541325,1805408,32,56419,1
1680544325,1811488,32,56609,1
1680547325,1814176,32,56693,1
1680550325,1815296,32,56728,1
1680553325,1821152,32,56911,1
1680556325,1825184,32,57037,1
1680559325,1825184,32,57037,1
1680562325,1825184,32,57037,1
1680565325,1825184,32,57037,1
1680568325,1825184,32,57037,1
1680571325,1825184,32,57037,1
1680574325,1825184,32,57037,1
1680577325,1825184,32,57037,1
1680580325,1825184,32,57037,1
1680583325,1825184,32,57037,1
1680586325,1825184,32,57037,1
1680589325,1825184,32,57037,1
1680592325,1825184,32,57037,1
1680595325,1825184,32,57037,1
1680598325,1825184,32,57037,1
1680601325,1825184,32,57037,1
1680604325,1825184,32,57037,1
1680607325,1825184,32,57037,1
1680610325,1825184,32,57037,1
1680613325,1825184,32,57037,1
1680616325,1825184,32,57037,1
